Record_ID,Dataset_Section,Source_Paper,Sim_Time_s,Bus_ID,Bus_Name,Frequency_Hz,Voltage_pu,Voltage_kV,Angle_deg,Active_Power_MW,Reactive_Power_MVAr,Ambient_Temp_C,Grid_State,Stability_Label,Voltage_Estimated,Reactive_Estimated
1,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.0010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),49.60,0.9702,320.2,26.23,404.691,243.30,33,Stable,0,TRUE,TRUE
2,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.1010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),49.81,0.9702,320.2,15.35,375.675,225.81,33,Stable,0,TRUE,TRUE
3,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.2010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),49.97,0.9702,320.2,11.75,419.156,251.99,33,Stable,0,TRUE,TRUE
4,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.3010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),49.94,0.9702,320.2,10.69,470.892,282.99,33,Stable,0,TRUE,TRUE
5,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.4010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),49.85,0.9702,320.2,6.86,452.193,271.74,33,Stable,0,TRUE,TRUE
6,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.5010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),49.93,0.9702,320.2,2.30,388.019,233.25,33,Stable,0,TRUE,TRUE
7,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.6010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),50.20,0.9702,320.2,4.35,358.006,215.23,33,Stable,0,TRUE,TRUE
8,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.7010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),50.41,0.9702,320.2,15.91,401.076,241.09,33,Stable,0,TRUE,TRUE
9,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.8010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),50.41,0.9702,320.2,31.61,478.041,287.36,33,Stable,0,TRUE,TRUE
10,ETAP_S1_Stable,Oluseyi_et_al_NIJOTECH_2017,15.9010,Ikeja_West_Egbin_Bus,Ikeja-West (Egbin Generator),50.19,0.9702,320.2,42.96,522.184,313.94,33,Stable,0,TRUE,TRUE
