Record_ID,Scenario,Source,Sim_Time_s,Bus_ID,Bus_Name,Frequency_Hz,Voltage_pu,Voltage_kV,Angle_deg,Active_Power_MW,Reactive_Power_MVAr,ROCOF_Hz_per_s,Ambient_Temp_C,Grid_State,Stability_Label
1,Normal_Operation,Synthetic_PhysicsInformed,0.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9885,0.9988,329.6,19.78,444.04,266.957,-0.1153,30.0,Stable,0
2,Normal_Operation,Synthetic_PhysicsInformed,0.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9788,0.9884,326.2,24.58,437.991,263.32,-0.0963,30.1,Stable,0
3,Normal_Operation,Synthetic_PhysicsInformed,0.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9625,0.9898,326.6,28.19,460.863,277.071,-0.163,30.1,Stable,0
4,Normal_Operation,Synthetic_PhysicsInformed,0.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0169,0.991,327.0,29.87,439.026,263.943,0.544,30.2,Stable,0
5,Normal_Operation,Synthetic_PhysicsInformed,0.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0358,1.0007,330.2,34.78,436.448,262.393,0.1886,30.3,Stable,0
6,Normal_Operation,Synthetic_PhysicsInformed,0.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0766,0.9905,326.9,37.05,445.933,268.095,0.4075,30.3,Stable,0
7,Normal_Operation,Synthetic_PhysicsInformed,0.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1426,0.9893,326.5,40.98,450.101,270.601,0.6604,30.4,Stable,0
8,Normal_Operation,Synthetic_PhysicsInformed,0.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1981,0.982,324.1,43.41,418.805,251.786,0.5546,30.4,Stable,0
9,Normal_Operation,Synthetic_PhysicsInformed,0.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9786,0.9787,323.0,41.94,436.885,262.655,-2.195,30.5,Stable,0
10,Normal_Operation,Synthetic_PhysicsInformed,0.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0328,0.9712,320.5,46.39,416.497,250.398,0.5421,30.6,Stable,0
11,Normal_Operation,Synthetic_PhysicsInformed,1.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0242,0.9706,320.3,45.23,433.545,260.647,-0.0854,30.6,Stable,0
12,Normal_Operation,Synthetic_PhysicsInformed,1.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0741,0.9745,321.6,45.99,442.938,266.294,0.4986,30.7,Stable,0
13,Normal_Operation,Synthetic_PhysicsInformed,1.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0202,0.9707,320.3,42.84,452.277,271.909,-0.5386,30.8,Stable,0
14,Normal_Operation,Synthetic_PhysicsInformed,1.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9992,0.9886,326.2,40.64,429.186,258.027,-0.2102,30.8,Stable,0
15,Normal_Operation,Synthetic_PhysicsInformed,1.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0607,0.9991,329.7,41.24,445.943,268.101,0.6152,30.9,Stable,0
16,Normal_Operation,Synthetic_PhysicsInformed,1.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1718,0.9985,329.5,34.83,434.504,261.224,1.1107,30.9,Stable,0
17,Normal_Operation,Synthetic_PhysicsInformed,1.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2394,0.9884,326.2,34.76,439.344,264.133,0.6764,31.0,Stable,0
18,Normal_Operation,Synthetic_PhysicsInformed,1.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2022,0.9941,328.0,32.51,485.305,291.765,-0.3722,31.1,Stable,0
19,Normal_Operation,Synthetic_PhysicsInformed,1.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2417,0.9901,326.7,26.6,465.908,280.104,0.3949,31.1,Stable,0
20,Normal_Operation,Synthetic_PhysicsInformed,1.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.3058,0.9866,325.6,23.77,479.099,288.034,0.641,31.2,Stable,0
21,Normal_Operation,Synthetic_PhysicsInformed,2.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2326,0.9853,325.1,16.32,454.994,273.542,-0.7317,31.2,Stable,0
22,Normal_Operation,Synthetic_PhysicsInformed,2.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1756,0.9889,326.3,18.48,453.375,272.569,-0.5705,31.3,Stable,0
23,Normal_Operation,Synthetic_PhysicsInformed,2.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1877,0.9906,326.9,14.44,470.073,282.608,0.1213,31.4,Stable,0
